movieId,avg_rating,rating_count,(no genres listed),Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,year
1,3.9209302325581397,215,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995
2,3.4318181818181817,110,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995
3,3.2596153846153846,52,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1995
4,2.357142857142857,7,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1995
5,3.0714285714285716,49,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
6,3.946078431372549,102,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1995
7,3.185185185185185,54,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1995
8,2.875,8,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
9,3.125,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
10,3.496212121212121,132,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1995
11,3.6714285714285713,70,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1995
12,2.4210526315789473,19,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1995
13,3.125,8,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
14,3.8333333333333335,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1995
15,3.0,13,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1995
16,3.926829268292683,82,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1995
17,3.7761194029850746,67,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1995
18,3.7,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
19,2.727272727272727,88,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
20,2.5,15,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1995
21,3.49438202247191,89,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1995
22,3.2222222222222223,36,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1995
23,3.125,16,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1995
24,3.125,28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1995
25,3.625,76,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1995
26,3.5,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1995
27,3.3333333333333335,9,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1995
28,4.2272727272727275,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1995
29,4.0131578947368425,38,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1995
30,3.0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1995
31,3.1842105263157894,38,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1995
32,3.983050847457627,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1995
34,3.65234375,128,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1995
36,3.8358208955223883,67,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1995
38,2.125,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
39,3.293269230769231,104,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1995
40,4.25,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1995
41,3.7,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1995
42,3.0,7,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1995
43,3.1875,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1995
